Time,Open,High,Low,Close,Volume,OpenInterest
2026-08-17 12:00,500.5,500.5,500.25,500.25,26.0,0
2026-08-17 13:00,500.25,501.5,500.0,500.75,120.0,0
2026-08-17 14:00,500.75,501.0,500.25,500.5,95.0,0
2026-08-17 15:00,500.25,501.0,499.5,501.0,79.0,0
2026-08-17 16:00,501.0,502.5,501.0,502.25,172.0,0
2026-08-17 17:00,502.25,502.5,500.25,500.5,376.0,0
2026-08-17 18:00,500.5,501.25,499.0,501.0,391.0,0
2026-08-17 19:00,501.0,501.75,500.25,500.5,840.0,0
2026-08-17 20:00,500.0,502.0,499.25,501.5,4045.0,0
2026-08-17 21:00,501.25,503.0,500.5,503.0,2696.0,0
2026-08-17 22:00,503.0,505.25,503.0,504.25,3116.0,0
2026-08-17 23:00,504.25,506.75,503.5,505.5,5179.0,0
2026-08-18 00:00,505.75,507.0,505.5,505.75,2894.0,0
2026-08-18 01:00,506.0,506.0,504.25,504.75,3398.0,0
2026-08-18 07:00,504.5,506.75,504.0,504.5,1092.0,0
2026-08-18 08:00,504.75,506.5,504.75,506.25,415.0,0
2026-08-18 09:00,506.5,507.5,506.5,507.0,264.0,0
2026-08-18 10:00,507.0,507.0,506.5,506.5,157.0,0
2026-08-18 11:00,507.0,507.0,506.5,506.5,28.0,0
2026-08-18 12:00,506.5,506.75,506.25,506.25,52.0,0
2026-08-18 13:00,506.25,507.0,506.25,506.75,236.0,0
2026-08-18 14:00,507.0,508.25,506.75,508.25,475.0,0
2026-08-18 15:00,507.75,508.5,507.75,508.25,303.0,0
2026-08-18 16:00,508.25,508.5,507.5,508.0,271.0,0
2026-08-18 17:00,508.0,508.25,507.75,508.25,184.0,0
2026-08-18 18:00,508.5,508.5,506.75,506.75,398.0,0
2026-08-18 19:00,507.0,508.0,505.75,507.5,699.0,0
2026-08-18 20:00,507.75,508.75,506.25,507.25,3630.0,0
2026-08-18 21:00,507.25,507.75,503.25,506.0,4064.0,0
2026-08-18 22:00,506.0,506.25,503.75,505.0,2996.0,0
2026-08-18 23:00,505.0,505.75,503.5,504.0,2399.0,0
2026-08-19 00:00,504.0,504.5,502.75,504.0,1564.0,0
2026-08-19 01:00,504.0,504.5,503.25,503.25,2040.0,0
2026-08-19 07:00,503.0,503.25,502.0,502.75,487.0,0
2026-08-19 08:00,502.75,506.25,502.75,505.5,430.0,0
2026-08-19 09:00,505.75,505.75,505.0,505.25,38.0,0
2026-08-19 10:00,505.25,505.75,505.0,505.0,52.0,0
2026-08-19 11:00,505.25,505.25,505.0,505.25,19.0,0
2026-08-19 12:00,505.5,506.0,505.5,505.75,95.0,0
2026-08-19 13:00,505.75,506.25,505.0,506.0,235.0,0
2026-08-19 14:00,506.0,506.75,505.75,506.0,136.0,0
2026-08-19 15:00,505.75,506.0,505.0,505.75,594.0,0
2026-08-19 16:00,505.75,506.25,505.0,505.25,132.0,0
2026-08-19 17:00,505.75,506.0,505.0,505.5,382.0,0
2026-08-19 18:00,505.5,507.25,504.75,506.25,1173.0,0
2026-08-19 19:00,506.0,506.75,505.75,506.5,831.0,0
2026-08-19 20:00,506.0,508.75,506.0,508.25,2644.0,0
2026-08-19 21:00,508.25,511.25,508.25,510.5,5628.0,0
2026-08-19 22:00,510.75,512.0,510.25,511.0,4235.0,0
2026-08-19 23:00,511.25,512.0,510.0,510.0,3733.0,0
2026-08-20 00:00,510.25,511.75,509.0,511.5,2795.0,0
2026-08-20 01:00,511.75,514.0,511.5,513.75,6161.0,0
2026-08-20 07:00,513.5,515.0,512.75,513.75,2240.0,0
2026-08-20 08:00,514.0,516.25,513.75,515.5,2181.0,0
2026-08-20 09:00,515.5,516.5,514.5,516.5,292.0,0
2026-08-20 10:00,516.5,517.25,516.5,517.0,350.0,0
2026-08-20 11:00,517.0,517.25,516.75,516.75,80.0,0
2026-08-20 12:00,516.75,517.0,516.25,516.25,100.0,0
2026-08-20 13:00,516.5,517.5,516.5,517.5,131.0,0
2026-08-20 14:00,517.5,518.25,516.5,518.0,427.0,0
2026-08-20 15:00,518.0,519.0,517.75,518.25,395.0,0
2026-08-20 16:00,518.0,518.75,517.0,517.75,938.0,0
2026-08-20 17:00,518.0,518.25,517.0,517.5,139.0,0
2026-08-20 18:00,517.25,518.25,517.0,518.25,388.0,0
2026-08-20 19:00,518.25,519.5,518.0,518.75,1733.0,0
2026-08-20 20:00,517.75,520.0,517.25,519.0,7229.0,0
2026-08-20 21:00,519.0,519.75,517.5,519.5,5667.0,0
2026-08-20 22:00,519.25,520.5,518.5,519.0,4425.0,0
